hand,first_win_day,first_win_situation,wins
AKQ2d,2025-08-19,preflop,"[""2cKhQhAd""]"
AKQ7r,2025-08-19,showdown,"[""AcQh7dKs""]"
AQ63p,2025-08-19,preflop,"[""3hQc6hAc""]"
AQ75d,2025-08-19,showdown,"[""7h5cAsQs""]"
AQJ3t,2025-08-19,showdown,"[""AhJh3hQc"", ""QcAdJd3d""]"
AQJ7p,2025-08-19,showdown,"[""AsQd7sJd""]"
AQJ8d,2025-08-19,preflop,"[""JdAd8cQh"", ""Js8hQdAd""]"
AQJTd,2025-08-19,turn,"[""AsJdQhTs""]"
AQQTp,2025-08-19,showdown,"[""QhTcAhQc""]"
AT98p,2025-08-19,preflop,"[""8c9cThAh""]"
ATT9p,2025-08-19,showdown,"[""Td9dAsTs""]"
JJ82d,2025-08-19,river,"[""8sJs2dJh""]"
JJT2d,2025-08-19,preflop,"[""JdJsTd2c"", ""2sThJcJh""]"
K866p,2025-08-19,flop,"[""8s6sKh6h""]"
K942d,2025-08-19,preflop,"[""2hKs9s4d""]"
KJ43p,2025-08-19,preflop,"[""3s4cJsKc""]"
KJ87p,2025-08-19,preflop,"[""8h7dKhJd""]"
KK96p,2025-08-19,showdown,"[""Ks9h6sKh""]"
KKJ8p,2025-08-19,showdown,"[""8hKdJdKh""]"
KKQ4t,2025-08-19,preflop,"[""KsKdQd4d""]"
KQ65p,2025-08-19,preflop,"[""5hKhQs6s""]"
KQQ8d,2025-08-19,preflop,"[""8sQsQhKd""]"
KT88p,2025-08-19,turn,"[""8hTh8sKs""]"
KT98d,2025-08-19,showdown,"[""9h8dTsKs"", ""8cTdKs9d""]"
Q863t,2025-08-19,showdown,"[""3s6s8hQs""]"
Q994p,2025-08-19,showdown,"[""Qd9s4s9d""]"
QJ85d,2025-08-19,preflop,"[""Qc5h8cJd""]"
QJT6p,2025-08-19,preflop,"[""TcJcQh6h""]"
QQ66d,2025-08-19,turn,"[""6cQcQs6h""]"
QT76d,2025-08-19,showdown,"[""7c6hQhTs"", ""Tc6h7dQd""]"
QT95p,2025-08-19,flop,"[""9cQh5hTc""]"
